"Rentrée";"Type";"UAI";"Etablissement";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2020";"Université";"0383546Y";"UNIVERSITE GRENOBLE ALPES";29;15;1081;568;0,0175864160097029;0,0138760407030527
"2020";"Université";"0421095M";"UNIVERSITE DE SAINT-ETIENNE";11;5;298;172;0,0234042553191489;0,0167785234899329
"2020";"Université";"0440984F";"UNIVERSITE DE NANTES";16;2;779;431;0,0132231404958678;0,00256739409499358
"2020";"Université";"0450855K";"UNIVERSITE D'ORLEANS";12;13;431;155;0,0204778156996587;0,0301624129930394
"2020";"Université";"0490970N";"UNIVERSITE D'ANGERS";6;4;366;219;0,0102564102564103;0,0109289617486339
"2020";"Université";"0511296G";"UNIVERSITE DE REIMS";24;18;523;270;0,0302648171500631;0,0344168260038241
"2020";"Université";"0542493S";"UNIVERSITE DE LORRAINE";39;29;1413;765;0,0179063360881543;0,0205237084217976
"2020";"Université";"0561718N";"UNIVERSITE DE BRETAGNE SUD (LORIENT)";5;2;181;71;0,0198412698412698;0,0110497237569061
"2020";"Université";"0595964M";"UNIVERSITE DU LITTORAL";12;6;231;79;0,0387096774193548;0,025974025974026
"2020";"Université";"0597065J";"UNIVERSITE DE LILLE";20;21;1433;778;0,00904568068747173;0,0146545708304257
"2020";"Université";"0597132G";"UNIV. POLYTECHNIQUE HAUTS-DE-FRANCE";10;1;260;108;0,0271739130434783;0,00384615384615385
"2020";"Université";"0623957P";"UNIVERSITE D'ARTOIS";6;6;237;91;0,0182926829268293;0,0253164556962025
"2020";"Université";"0632035V";"UNIVERSITE CLERMONT AUVERGNE";15;5;713;363;0,0139405204460967;0,00701262272089762
"2020";"Université";"0640251A";"UNIVERSITE DE PAU";1;0;296;134;0,00232558139534884;0
"2020";"Université";"0660437S";"UNIVERSITE DE PERPIGNAN (VIA DOMITIA)";4;3;199;82;0,0142348754448399;0,0150753768844221
"2020";"Université";"0673021V";"UNIVERSITE DE STRASBOURG";22;15;891;595;0,0148048452220727;0,0168350168350168
"2020";"Université";"0681166Y";"UNIVERSITE DE MULHOUSE";7;1;235;90;0,0215384615384615;0,00425531914893617
"2020";"Université";"0691774D";"UNIVERSITE LYON 1 (CLAUDE BERNARD)";22;0;864;559;0,0154602951510892;0
"2020";"Université";"0691775E";"UNIVERSITE LYON 2 (LUMIERE)";26;12;360;182;0,0479704797047971;0,0333333333333333
"2020";"Université";"0692437Z";"UNIVERSITE LYON 3 (JEAN MOULIN)";13;9;258;127;0,0337662337662338;0,0348837209302326
"2020";"Université";"0720916E";"UNIVERSITE DU MANS";4;3;239;109;0,0114942528735632;0,0125523012552301
"2020";"Université";"0730858L";"UNIVERSITE DE SAVOIE MONT-BLANC";7;4;276;115;0,0179028132992327;0,0144927536231884
"2020";"Université";"0751717J";"UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)";24;15;438;286;0,0331491712707182;0,0342465753424658
"2020";"Université";"0751718K";"UNIVERSITE PARIS 2 (PANTHEON-ASSAS)";9;7;125;134;0,0347490347490347;0,056
"2020";"Université";"0751719L";"UNIVERSITE PARIS 3 (SORBONNE NOUVELLE)";10;4;258;140;0,0251256281407035;0,0155038759689922
"2020";"Université";"0755890V";"UNIVERSITE SORBONNE UNIVERSITE";34;27;1400;906;0,0147441457068517;0,0192857142857143
"2020";"Université";"0755976N";"UNIVERSITE DE PARIS";46;16;1295;1132;0,0189534404614751;0,0123552123552124
"2020";"Université";"0761904G";"UNIVERSITE DE ROUEN";14;7;531;313;0,0165876777251185;0,0131826741996234
"2020";"Université";"0762762P";"UNIVERSITE DU HAVRE";3;3;186;63;0,0120481927710843;0,0161290322580645
"2020";"Université";"0772894C";"UNIVERSITE GUSTAVE EIFFEL";12;5;210;95;0,039344262295082;0,0238095238095238
"2020";"Université";"0781944P";"UNIVERSITE VERSAILLES/SAINT-QUENTIN";16;13;284;229;0,0311890838206628;0,0457746478873239
"2020";"Université";"0801344B";"UNIVERSITE D'AMIENS";17;4;526;238;0,0222513089005236;0,00760456273764259
"2020";"Université";"0840685N";"UNIVERSITE D'AVIGNON";9;3;171;48;0,0410958904109589;0,0175438596491228
"2020";"Université";"0860856N";"UNIVERSITE DE POITIERS";34;11;618;314;0,036480686695279;0,0177993527508091
"2020";"Université";"0870669E";"UNIVERSITE DE LIMOGES";10;9;372;215;0,0170357751277683;0,0241935483870968
"2020";"Université";"0911975C";"UNIVERSITE D'EVRY VAL D'ESSONNE";5;4;186;78;0,0189393939393939;0,021505376344086
"2020";"Université";"0912408Y";"UNIVERSITE PARIS SACLAY";23;19;813;470;0,0179267342166797;0,023370233702337
"2020";"Université";"0921204J";"UNIVERSITE PARIS 10 (NANTERRE)";23;12;541;258;0,0287859824780976;0,022181146025878
"2020";"Université";"0931238R";"UNIVERSITE PARIS 13";19;6;477;242;0,0264255910987483;0,0125786163522013
"2020";"Université";"0931827F";"UNIVERSITE PARIS 8";24;15;444;202;0,0371517027863777;0,0337837837837838
"2020";"Université";"0941111X";"UNIVERSITE PARIS EST CRETEIL (PARIS 12";30;8;525;302;0,0362756952841596;0,0152380952380952
"2020";"Université";"0952259P";"CY CERGY PARIS UNIVERSITE";17;6;290;135;0,04;0,0206896551724138
"2020";"Université";"9710585J";"UNIVERSITE DES ANTILLES";9;4;230;96;0,0276073619631902;0,0173913043478261
"2020";"Université";"9730429D";"UNIVERSITE DE LA GUYANE";1;2;42;1;0,0232558139534884;0,0476190476190476
"2020";"Université";"9740478B";"UNIVERSITE DE LA REUNION";8;6;233;105;0,0236686390532544;0,0257510729613734
"2020";"Université";"9840349G";"UNIVERSITE DE POLYNESIE FRANCAISE";2;0;48;12;0,0333333333333333;0
"2021";"Autre établissement d'enseignement supérieur";"0922605G";"INS FREJHEA";4;0;13;4;0,235294117647059;0
"2021";"École d'ingénieurs";"0590338X";"ENSAIT DE ROUBAIX";2;0;17;11;0,0714285714285714;0
"2021";"École d'ingénieurs";"0632033T";"INP CLERMONT AUVERGNE";1;0;37;20;0,0175438596491228;0
"2021";"École habilitée à délivrer un diplôme d'ingénieur";"0951376E";"ENSEA DE CERGY";0;1;25;7;0;0,04
"2021";"École nationale supérieure d'ingénieurs";"0650048Z";"ENI DE TARBES";0;4;36;17;0;0,111111111111111
"2021";"École nationale supérieure d'ingénieurs";"0912266U";"ENS IIE";2;0;12;7;0,105263157894737;0
"2021";"École normale supérieure";"0694123G";"ECOLE NORMALE SUPERIEURE DE LYON";3;6;103;69;0,0174418604651163;0,058252427184466
"2021";"École normale supérieure";"0753455Y";"ECOLE NORMALE SUPERIEURE DE PARIS";1;5;61;38;0,0101010101010101;0,0819672131147541
"2021";"École normale supérieure";"0912423P";"ENS PARIS-SACLAY";1;1;62;55;0,00854700854700855;0,0161290322580645
"2021";"Grand établissement";"0333232J";"INP DE BORDEAUX";1;2;108;71;0,00558659217877095;0,0185185185185185
"2021";"Grand établissement";"0692459Y";"E.N.S.S.I.B DE LYON";0;2;5;3;0;0,4
"2021";"Grand établissement";"0750736T";"UNIVERSITE PARIS-DAUPHINE";5;2;173;104;0,0180505415162455;0,0115606936416185
"2021";"Grand établissement";"0753237L";"ENSAM";2;1;157;66;0,00896860986547085;0,00636942675159236
"2021";"Grand établissement";"0753431X";"I.E.P DE PARIS";0;1;3;52;0;0,333333333333333
"2021";"Grand établissement";"0753471R";"CONSERVATOIRE NAT. DES ARTS ET METIERS";6;3;236;116;0,0170454545454545;0,0127118644067797
"2021";"Grand établissement";"0753488J";"INALCO PARIS";12;5;144;74;0,055045871559633;0,0347222222222222
